Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.13,38,0.027,Completed
SSI,314,50,50,0.13,39,0.029,Completed
SSI,314,50,50,0.13,40,0.031,Completed
SSI,314,50,50,0.13,41,0.030,Completed
SSI,314,50,50,0.13,42,0.026,Completed
SSI,314,50,50,0.13,43,0.026,Completed
SSI,314,50,50,0.13,44,0.029,Completed
SSI,314,50,50,0.13,45,0.031,Completed
SSI,314,50,50,0.13,46,0.029,Completed
SSI,314,50,50,0.13,47,0.022,Completed
SSI,314,50,50,0.13,48,0.027,Completed
SSI,314,50,50,0.13,49,0.024,Completed
SSI,314,50,50,0.13,50,0.020,Completed
SSI,314,50,50,0.13,51,0.021,Completed
SSI,314,50,50,0.13,52,0.032,Completed
SSI,314,50,50,0.13,53,0.028,Completed
SSI,314,50,50,0.13,54,0.033,Completed
SSI,314,50,50,0.13,55,0.029,Completed
SSI,314,50,50,0.13,56,0.023,Completed
SSI,314,50,50,0.13,57,0.033,Completed
SSI,314,50,50,0.13,58,0.028,Completed
SSI,314,50,50,0.13,59,0.029,Completed
SSI,314,50,50,0.13,60,0.028,Completed
SSI,314,50,50,0.13,61,0.026,Completed
SSI,314,50,50,0.13,62,0.029,Completed
SSI,314,50,50,0.13,63,0.032,Completed
SSI,314,50,50,0.13,64,0.030,Completed
SSI,314,50,50,0.13,65,0.025,Completed
SSI,314,50,50,0.13,66,0.031,Completed
SSI,314,50,50,0.13,67,0.029,Completed
SSI,314,50,50,0.13,68,0.033,Completed
SSI,314,50,50,0.13,69,0.024,Completed
SSI,314,50,50,0.13,70,0.025,Completed
SSI,314,50,50,0.13,71,0.031,Completed
SSI,314,50,50,0.13,72,0.029,Completed
SSI,314,50,50,0.13,73,0.030,Completed
SSI,314,50,50,0.13,74,0.021,Completed
SSI,314,50,50,0.13,75,0.026,Completed
SSI,314,50,50,0.13,76,0.026,Completed
SSI,314,50,50,0.13,77,0.022,Completed
SSI,314,50,50,0.13,78,0.027,Completed
SSI,314,50,50,0.13,79,0.029,Completed
SSI,314,50,50,0.13,80,0.032,Completed
SSI,314,50,50,0.13,81,0.030,Completed
SSI,314,50,50,0.13,82,0.029,Completed
SSI,314,50,50,0.13,83,0.020,Completed
SSI,314,50,50,0.13,84,0.024,Completed
SSI,314,50,50,0.13,85,0.027,Completed
SSI,314,50,50,0.13,86,0.024,Completed
SSI,314,50,50,0.13,87,0.023,Completed
SSI,314,50,50,0.13,88,0.032,Completed
SSI,314,50,50,0.13,89,0.026,Completed
SSI,314,50,50,0.13,90,0.031,Completed
SSI,314,50,50,0.13,91,0.032,Completed
SSI,314,50,50,0.13,92,0.024,Completed
SSI,314,50,50,0.13,93,0.029,Completed
SSI,314,50,50,0.13,94,0.029,Completed
SSI,314,50,50,0.13,95,0.028,Completed
SSI,314,50,50,0.13,96,0.027,Completed
SSI,314,50,50,0.13,97,0.026,Completed
SSI,314,50,50,0.13,98,0.029,Completed
SSI,314,50,50,0.13,99,0.029,Completed
SSI,314,50,50,0.14,0,0.020,Completed
SSI,314,50,50,0.14,1,0.028,Completed
SSI,314,50,50,0.14,2,0.029,Completed
SSI,314,50,50,0.14,3,0.029,Completed
SSI,314,50,50,0.14,4,0.031,Completed
SSI,314,50,50,0.14,5,0.030,Completed
SSI,314,50,50,0.14,6,0.028,Completed
SSI,314,50,50,0.14,7,0.029,Completed
SSI,314,50,50,0.14,8,0.025,Completed
SSI,314,50,50,0.14,9,0.027,Completed
SSI,314,50,50,0.14,10,0.022,Completed
SSI,314,50,50,0.14,11,0.023,Completed
SSI,314,50,50,0.14,12,0.034,Completed
SSI,314,50,50,0.14,13,0.025,Completed
SSI,314,50,50,0.14,14,0.031,Completed
SSI,314,50,50,0.14,15,0.026,Completed
SSI,314,50,50,0.14,16,0.028,Completed
SSI,314,50,50,0.14,17,0.029,Completed
SSI,314,50,50,0.14,18,0.029,Completed
SSI,314,50,50,0.14,19,0.029,Completed
SSI,314,50,50,0.14,20,0.020,Completed
SSI,314,50,50,0.14,21,0.024,Completed
SSI,314,50,50,0.14,22,0.040,Completed
SSI,314,50,50,0.14,23,0.030,Completed
SSI,314,50,50,0.14,24,0.028,Completed
SSI,314,50,50,0.14,25,0.026,Completed
SSI,314,50,50,0.14,26,0.028,Completed
SSI,314,50,50,0.14,27,0.029,Completed
SSI,314,50,50,0.14,28,0.028,Completed
SSI,314,50,50,0.14,29,0.025,Completed
SSI,314,50,50,0.14,30,0.026,Completed
SSI,314,50,50,0.14,31,0.019,Completed
SSI,314,50,50,0.14,32,0.022,Completed
SSI,314,50,50,0.14,33,0.027,Completed
SSI,314,50,50,0.14,34,0.029,Completed
SSI,314,50,50,0.14,35,0.028,Completed
SSI,314,50,50,0.14,36,0.029,Completed
SSI,314,50,50,0.14,37,0.027,Completed
SSI,314,50,50,0.14,38,0.029,Completed
SSI,314,50,50,0.14,39,0.024,Completed
SSI,314,50,50,0.14,40,0.028,Completed
SSI,314,50,50,0.14,41,0.021,Completed
SSI,314,50,50,0.14,42,0.024,Completed
SSI,314,50,50,0.14,43,0.029,Completed
SSI,314,50,50,0.14,44,0.029,Completed
SSI,314,50,50,0.14,45,0.028,Completed
SSI,314,50,50,0.14,46,0.019,Completed
SSI,314,50,50,0.14,47,0.029,Completed
SSI,314,50,50,0.14,48,0.029,Completed
SSI,314,50,50,0.14,49,0.028,Completed
SSI,314,50,50,0.14,50,0.028,Completed
SSI,314,50,50,0.14,51,0.021,Completed
SSI,314,50,50,0.14,52,0.023,Completed
SSI,314,50,50,0.14,53,0.027,Completed
SSI,314,50,50,0.14,54,0.027,Completed
SSI,314,50,50,0.14,55,0.022,Completed
